TCID,Tytuł,Warunki wstępne,ID Kroku,Opis kroku,Oczekiwany rezultat
1111111,Usuwanie produktu z koszyka,Załadowana strona główna sklepu,1,Dodaj do koszyka dowolny produkt z dowolnej kategorii,Informacja o dodanym produkcie
,,,2,"Otwórz koszyk i sprawdź, czy produkt tam jest",Produkt obecny w koszyku
,,,3,Usuń produkt z poziomu koszyka,Jest możliwość usunięcia
,,,4,"Sprawdź, czy produkt został usunięty","Produkt usunięty, wartość koszyka zaktualizowana"
222222,Zmniejszanie i zwiększanie ilości danego produktu w koszyku,Załadowana strona główna sklepu,1,Dodaj do koszyka dowolny produkt z dowolnej kategorii,Informacja o dodanym produkcie
,,,2,"Otwórz koszyk i sprawdź, czy produkt tam jest",Produkt obecny w koszyku
,,,3,Zwiększ ilość produktu,Jest możliwość zwiększania ilości produktu
,,,4,Sprawdź wartość koszyka i ilość produkty,Poprawna ilość i wartość
,,,5,Zmniejsz ilość produktu,Poprawna ilość i wartość
333333,Dodanie wielu róznych produktów,Załadowana strona główna sklepu,1,Dodaj do koszyka dowolne 3 produkty z dowolnej kategorii,Informacja o dodanym produkcie
,,,2,"Otwórz koszyk i sprawdź, czy produkty tam są","Produkty obecne w koszyku, poprawna wartość koszyka"
